run_id,region,overlay_unit_id,hex_id,intersection_area_km2,is_primary
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_fc5b0b5ad6f2,h6000_q-000747_r+001669,1.350544,False
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_fc5b0b5ad6f2,h6000_q-000747_r+001670,8.859714,False
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_fc5b0b5ad6f2,h6000_q-000746_r+001667,0.929776,False
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_fc5b0b5ad6f2,h6000_q-000746_r+001668,0.000321,False
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_fc5b0b5ad6f2,h6000_q-000746_r+001669,15.487912,True
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_fc5b0b5ad6f2,h6000_q-000746_r+001670,1.137509,False
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_fc5b0b5ad6f2,h6000_q-000745_r+001668,0.966375,False
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_fc5b0b5ad6f2,h6000_q-000745_r+001669,10.995701,False
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_fc5b0b5ad6f2,h6000_q-000745_r+001670,4.525078,False
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_fc5b0b5ad6f2,h6000_q-000744_r+001668,0.502718,False
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_fc5b0b5ad6f2,h6000_q-000744_r+001670,1.031369,False
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_fc5b0b5ad6f2,h6000_q-000743_r+001669,0.290746,False
geography_v1_3_islands_006r_20260809,fiji_dateline,isl_u_df7f3e9203a4,h6000_q-003145_r-000376,0.120586,False
geography_v1_3_islands_006r_20260809,fiji_dateline,isl_u_df7f3e9203a4,h6000_q-003144_r-000376,0.127216,False
geography_v1_3_islands_006r_20260809,fiji_dateline,isl_u_df7f3e9203a4,h6000_q-003144_r-000375,0.567515,False
geography_v1_3_islands_006r_20260809,fiji_dateline,isl_u_df7f3e9203a4,h6000_q-003143_r-000376,3.397156,False
geography_v1_3_islands_006r_20260809,fiji_dateline,isl_u_df7f3e9203a4,h6000_q-003143_r-000375,6.257138,True
geography_v1_3_islands_006r_20260809,fiji_dateline,isl_u_df7f3e9203a4,h6000_q-003142_r-000376,0.879951,False
geography_v1_3_islands_006r_20260809,fiji_dateline,isl_u_e70524440aa8,h6000_q-003154_r-000364,2.865825,False
geography_v1_3_islands_006r_20260809,fiji_dateline,isl_u_e70524440aa8,h6000_q-003153_r-000365,15.425528,True
geography_v1_3_islands_006r_20260809,fiji_dateline,isl_u_e70524440aa8,h6000_q-003153_r-000364,13.349682,False
geography_v1_3_islands_006r_20260809,fiji_dateline,isl_u_e70524440aa8,h6000_q-003153_r-000363,0.019742,False
geography_v1_3_islands_006r_20260809,fiji_dateline,isl_u_e70524440aa8,h6000_q-003152_r-000365,4.678474,False
geography_v1_3_islands_006r_20260809,fiji_dateline,isl_u_e70524440aa8,h6000_q-003152_r-000364,12.183683,False
