hex_id,hex_land_km2,sicily_km2,sardinia_km2,unaudited_other_km2,unaudited_share,control_status,winner,basis
h6000_q-000296_r+000953,17.79437341553408,0.0,17.79437341553408,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000297_r+000911,18.758760427906036,0.0,18.758760427906036,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000297_r+000912,18.739648682661056,0.0,18.739648682661056,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000297_r+000913,18.7205414131279,0.0,18.7205414131279,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000297_r+000914,18.7014386603775,0.0,18.7014386603775,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000297_r+000915,18.682340465446472,0.0,18.682340465446472,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000297_r+000916,18.663246869068146,0.0,18.663246869068146,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000297_r+000917,18.644157912073137,0.0,18.644157912073137,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000297_r+000918,18.62507363510513,0.0,18.62507363510513,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000297_r+000919,18.605994078708648,0.0,18.605994078708648,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000297_r+000920,18.586919283252715,0.0,18.586919283252715,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000297_r+000921,18.56784928927231,0.0,18.56784928927231,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000297_r+000922,18.54878413680458,0.0,18.54878413680458,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000297_r+000923,18.529723866077422,0.0,18.529723866077422,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000297_r+000924,18.510668517189025,0.0,18.510668517189025,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000297_r+000925,18.491618129951476,0.0,18.491618129951476,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000297_r+000926,18.472572744308472,0.0,18.472572744308472,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000297_r+000927,18.45353239993286,0.0,18.45353239993286,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000297_r+000928,18.43449713650894,0.0,18.43449713650894,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000297_r+000929,18.41546699349594,0.0,18.41546699349594,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000297_r+000930,18.39644201039505,0.0,18.39644201039505,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000297_r+000931,18.377422226467132,0.0,18.377422226467132,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000297_r+000932,18.35840768096924,0.0,18.35840768096924,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000297_r+000933,18.33939841300392,0.0,18.33939841300392,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000297_r+000934,18.320394461639403,0.0,18.320394461639403,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000297_r+000935,18.301395865756987,0.0,18.301395865756987,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000297_r+000936,18.282402664100648,0.0,18.282402664100648,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000297_r+000937,18.263414895519258,0.0,18.263414895519258,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000297_r+000938,18.24443259856415,0.0,18.24443259856415,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
