landmass,parent_hex_id,land_fragment_id,land_subject_or_component_id,land_area_km2,other_land_in_hex_km2,hex_total_land_km2,fragment_share_of_hex,other_land_share_of_hex,canonical_water_type,is_terrestrial_hex,whole_hex_assigned,outcome
Great Britain,h6000_q-000776_r+001411,lfr_6717f22e2d1d78,hsub_great_britain_main_island,1.454782702,0.239238386,1.694021088,0.8588,0.1412,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000668_r+001264,lfr_4d303e88e44890,hsub_great_britain_main_island,4.211418289,0.68493944,4.896357729,0.8601,0.1399,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000631_r+001293,lfr_f73988530eecbe,hsub_great_britain_main_island,5.105018945,0.785922081,5.890941025,0.8666,0.1334,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000675_r+001260,lfr_115746fb9cbcff,hsub_great_britain_main_island,0.969644936,0.149176612,1.118821548,0.8667,0.1333,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000859_r+001505,lfr_883e01690797f0,hsub_great_britain_main_island,1.64942235,0.227842309,1.877264659,0.8786,0.1214,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000747_r+001299,lfr_d9e8a5d8999f86,hsub_great_britain_main_island,1.186661284,0.151276279,1.337937563,0.8869,0.1131,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000693_r+001247,lfr_af052e1de95a60,hsub_great_britain_main_island,0.018527594,0.002352599,0.020880193,0.8873,0.1127,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000870_r+001550,lfr_bad8c6a27c9f90,hsub_great_britain_main_island,2.855473815,0.35190835,3.207382164,0.8903,0.1097,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000743_r+001429,lfr_7cb78374dabdfe,hsub_great_britain_main_island,1.124237,0.12611276,1.25034976,0.8991,0.1009,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000866_r+001530,lfr_93b74fffaf59b4,hsub_great_britain_main_island,0.011958919,0.001341537,0.013300456,0.8991,0.1009,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
