hex_id,hex_land_km2,great_britain_km2,ireland_km2,unaudited_other_km2,unaudited_share,control_status,winner,basis
h6000_q-000803_r+001394,10.595258044347762,0.0,10.595258044347762,0.0,0.0,CONTROLLED,ireland,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001395,10.581294461996078,0.0,10.581294461996078,0.0,0.0,CONTROLLED,ireland,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001396,9.863635025285264,0.0,9.85981656970851,0.003818455576753244,0.0003871245810459021,CONTROLLED,ireland,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001400,10.50726517859071,0.0,10.50726517859071,0.0,0.0,CONTROLLED,ireland,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001401,10.23188565801401,0.0,10.23188565801401,0.0,0.0,CONTROLLED,ireland,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001414,7.664673061866242,7.664673061866242,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001415,10.304877730638504,10.304877730638504,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001416,10.291199685237885,10.291199685237885,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001417,6.2253318035182685,6.2253318035182685,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001419,6.140629127981551,6.140629127981551,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001420,6.55462274197083,6.55462274197083,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001421,8.431632803005632,8.431632803005632,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001422,10.077177822444082,10.077177822444082,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001423,7.207780725780546,7.191630217538532,0.0,0.016150508242014795,0.002240704712928933,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001424,7.0435645966060925,7.0435645966060925,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001426,6.7775557938830575,6.7775557938830575,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001427,9.001883054401056,9.001883054401056,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001428,10.128124023181915,10.128124023181915,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001429,10.11462278456688,10.11462278456688,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001430,10.101135144001008,10.101135144001008,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001431,10.087661100914001,10.087661100914001,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001432,10.07420065470314,10.07420065470314,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001433,8.012528150712743,8.012528150712743,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001434,6.803754223435082,6.803754223435082,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001435,8.717162237773904,8.717162237773904,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001436,10.020494824285507,10.020494824285507,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001437,10.007102351306916,10.007102351306916,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001438,9.993723470504762,9.993723470504762,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001439,9.980358180915832,9.980358180915832,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001440,9.9670064814682,9.9670064814682,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001441,9.953668371238708,9.953668371238708,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001442,9.940343849040985,9.940343849040985,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001443,9.927032913829803,9.927032913829803,0.0,0.0,0.0,CONTROLLED,great_britain,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
