territorial_target_type,territorial_target_id,controller_scenario_polity_id,control_status,notes,old_status,old_controller,old_promotion_id,old_uncertainty_km,revision_id,reason,change,new_promotion_id,new_uncertainty_km
TERRESTRIAL_HEX,h6000_q-000594_r+000882,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 19.31 of 19.31 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000594_r+000883,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 19.30 of 19.30 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000594_r+000885,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 19.26 of 19.26 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000594_r+000886,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 19.24 of 19.24 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000594_r+000893,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 19.10 of 19.10 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000594_r+000894,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 19.08 of 19.08 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000594_r+000895,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 19.07 of 19.07 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000595_r+000875,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 19.45 of 19.45 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000595_r+000876,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 19.43 of 19.43 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000595_r+000877,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 19.41 of 19.41 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
